epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.227237,4.02088,7.1435,4.96497,0.00571,1,0.01093,0.00219,3.91282,7.94275,4.63541,0,0,0
2,0.502868,0,8.01704,0,0.00588,1,0.01106,0.00221,3.94535,7.46098,4.60324,1.50197e-05,1.50197e-05,1.50197e-05
3,0.727867,2.27174,5.03304,2.94668,0.00602,1,0.00985,0.00197,3.96275,7.44116,4.61974,2.67387e-05,2.67387e-05,2.67387e-05
4,0.941134,3.1591,9.92032,4.04828,0.00602,1,0.01015,0.00102,3.98476,7.51067,4.64049,3.5157e-05,3.5157e-05,3.5157e-05
5,1.16123,1.11706,4.69111,1.72257,0.00613,1,0.00975,0.00195,3.9792,7.67957,4.62351,4.02747e-05,4.02747e-05,4.02747e-05
6,1.37401,2.1781,5.17827,2.70642,0.00633,1,0.0093,0.00186,4.00049,7.41457,4.6006,4.20917e-05,4.20917e-05,4.20917e-05
7,1.59739,4.93449,9.36348,4.78925,0.00641,1,0.0093,0.00093,4.00329,7.11931,4.5398,4.06081e-05,4.06081e-05,4.06081e-05
8,1.81673,3.132,7.99331,3.59582,0,0,0,0,3.99974,6.92159,4.48643,3.58238e-05,3.58238e-05,3.58238e-05
9,2.04151,4.00948,5.64143,4.55896,0,0,0,0,4.01915,6.75323,4.42401,2.77389e-05,2.77389e-05,2.77389e-05
10,2.29838,3.90703,7.54778,3.844,0,0,0,0,4.02127,6.59567,4.37078,1.63533e-05,1.63533e-05,1.63533e-05
