warning_order_id	告警单ID(yyyyMM+租户id+)
warning_source	告警来源: 1-AI上报； 2-人工上报；3-一键告警
report_type	上报类型：1-PC上报；2-APP上报
task_id	第三方任务ID
warning_type_id	告警类型编码
alarm_time	形成告警时间
tenant_id	租户ID
tenant_name	租户名称
province_name	所在省名称
province_code	省份编码
city_name	所在市名称
city_code	地市编码
county_code	县编码
county_name	县名称
longitude	经度
latitude	纬度
alarm_body	告警内容
channel_code	通道编码
channel_name	通道名称
device_code	设备编码
device_name	设备名称
ptz_p	P位置
ptz_t	T位置
ptz_z	Z位置
remark	备注
description	事件描述
address	详细地址
alarm_code	告警编码
voice	语音
link_id	当前环节ID
link_name	当前环节名称
flow_node_time	当前环节开始时间
process_id	处理人
process_name	处理人姓名
group_id	小组id，组织编码
creator	创建人
time_limit	完成时限;单位：分钟
algorithm_code	算法编码
emergency_level	事件等级，关联枚举值表
order_status	0误报、1研判环节 、v2待调度、3待认领、4待处置、5待核实、6已完结、7重复告警
duplicate_order_id	重复报警事件ID
false_alarm_remark	虚假告警说明
flow_template	流程模板配置
find_name	事件发现人姓名
find_mobile	事件发现人电话
grid_id	网格id
grid_code	网格编码
grid_name	网格名称
video_url	视频路径
file_img_url_src	原图
file_img_url_icon	框图
judge_result	研判结果 0：误判 1：真实 2：重复报警
judge_type	告警研判类型0为默认告警 1串行告警 2并行告警
judge_time	研判时间
modifier_date	最后更新时间
create_time	创建时间
delete_flag	0正常 1删除
user_record	用户id流转记录，用\",\"拼接
org_record	组织/部门id流转记录，用\",\"拼接
importance_level	告警重要等级（一级、二级、三级、四级）
flow_id	流程ID
industry_code	行业信息
role_id	角色ID，中间用逗号隔开
app_ver_code	行业应用版本编码
alarm_param	报警参数
alarm_param_value	报警参数值
extra_field	行业扩展字段
msg_type	消息类型
notice_resource	通知类型
confidence_level	置信度
confidence_level_min	置信度最小值
comp_confidence_level	综合置信度
front_alarm_pic_url	前端告警图片
front_alarm_vedio_url	前端告警视频
hori_azimuth_angle	水平方位角
msg_id	请求唯一标识
camera_alarm_type	前端告警类型
is_second_judge	是否二次研判1-是；0-否
second_judge_result	二次研判结果1-真，0-假, 2-算法未分析
town_code	乡镇编码
town_name	乡镇编码
feature_pan	特征点p值
feature_tilt	特征点t值
before_dispatch_flag	上个环节是否调度（0：不是 1：是）
real_link_type	真实环节类型(1研判2调度4处置5核实6办结)
preset_id	预置位ID
enlarge_flag	3D放大标识（0-否，1-是）
confidence_level_max	置信度最大值
time_limit_acceptance	受理时限
enable_acceptance_mode	受理状态 0：不开启 1：开启（待受理）2：已受理 3：受理完成
alarm_reason	告警原因
device_horizontal	摄像机水平角
device_pitch	摄像机俯仰角
delete_remark	删除说明
linkage_algorithm	联动算法
is_second_identify	是否二次识别（1-是，0-否）
second_identify_result	二次研判识别（1-真，0-假，2-算法未分析）
alarm_area_id	告警区域id
alarm_point_id	告警点Id
percent_x	告警点X坐标百分比
percent_y	告警点y坐标百分比
preset_name	预置点名称
algorithm_name	算法名称
app_scenarios	算法应用场景
config_id	配置编号
warning_type_name	告警类型名称
warning_source_name	告警来源名称
